"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age "
"sex","sex of the participant "
"species","species of individuals participating in the study - chimpanzee"
"visible","tool pieces were placed on the table so there was a 6cm gap between the handle and the hook of the broken tool - participant score "
"aligned","tool pieces were positioned and the reward placed in the same way as visible condition but the gap was closed - participant score "
"no_occlusion","the total delay between tool set-up and choice were 15 seconds - participant score "
"no_occlusion_no_delay","no delay between tool set-up and participant choice - participant score "
